date,home_team,away_team,home_goals,away_goals,result,odds_initial_h,odds_initial_d,odds_initial_a
2022-05-08,Crystal Palace,Arsenal,0,2,A,4.2,3.6,1.85
2022-06-08,Fulham,Liverpool,2,2,D,11.0,6.0,1.25
2022-06-08,Bournemouth,Aston Villa,2,0,H,3.75,3.5,2.0
2022-06-08,Leeds,Wolves,2,1,H,2.25,3.4,3.2
2022-06-08,Newcastle,Nott'm Forest,2,0,H,1.66,3.8,5.25
2022-06-08,Tottenham,Southampton,4,1,H,1.33,5.5,8.5
2022-06-08,Everton,Chelsea,0,1,A,5.5,4.0,1.61
2022-07-08,Leicester,Brentford,2,2,D,2.0,3.75,3.5
2022-07-08,Man United,Brighton,1,2,A,1.6,4.2,5.25
2022-07-08,West Ham,Man City,0,2,A,8.0,5.0,1.36
2022-01-09,Leicester,Man United,0,1,A,3.4,3.75,2.05
2022-03-09,Everton,Liverpool,0,0,D,7.0,4.75,1.4
2022-03-09,Brentford,Leeds,5,2,H,2.1,3.5,3.4
2022-03-09,Chelsea,West Ham,2,1,H,1.55,4.5,5.5
2022-03-09,Newcastle,Crystal Palace,0,0,D,2.0,3.5,3.75
2022-03-09,Nott'm Forest,Bournemouth,2,3,A,1.95,3.5,3.8
2022-03-09,Tottenham,Fulham,2,1,H,1.5,4.5,6.5
2022-03-09,Wolves,Southampton,1,0,H,2.2,3.4,3.25
2022-03-09,Aston Villa,Man City,1,1,D,8.0,5.5,1.33
2022-04-09,Brighton,Leicester,5,2,H,1.83,3.5,4.5
2022-04-09,Man United,Arsenal,3,1,H,2.5,3.5,2.7
2022-01-10,Arsenal,Tottenham,3,1,H,2.05,3.75,3.3
2022-01-10,Bournemouth,Brentford,0,0,D,3.3,3.4,2.2
2022-01-10,Crystal Palace,Chelsea,1,2,A,4.2,3.6,1.85
2022-01-10,Fulham,Newcastle,1,4,A,3.0,3.4,2.37
2022-01-10,Liverpool,Brighton,3,3,D,1.33,5.25,8.5
2022-01-10,Southampton,Everton,1,2,A,2.15,3.4,3.4
2022-01-10,West Ham,Wolves,2,0,H,1.95,3.5,4.2
2022-02-10,Man City,Man United,6,3,H,1.33,5.75,7.5
2022-02-10,Leeds,Aston Villa,0,0,D,2.35,3.4,3.0
2022-03-10,Leicester,Nott'm Forest,4,0,H,1.75,4.0,4.33
2022-08-10,Bournemouth,Leicester,2,1,H,3.6,3.4,2.05
2022-08-10,Chelsea,Wolves,3,0,H,1.4,4.5,8.0
2022-08-10,Man City,Southampton,4,0,H,1.11,10.0,17.0
2022-08-10,Newcastle,Brentford,5,1,H,1.83,3.8,4.2
2022-08-10,Brighton,Tottenham,0,1,A,2.8,3.4,2.5
2022-09-10,Crystal Palace,Leeds,2,1,H,2.05,3.5,3.6
2022-09-10,West Ham,Fulham,3,1,H,1.72,3.8,4.75
2022-09-10,Arsenal,Liverpool,3,2,H,2.5,3.6,2.62
2022-09-10,Everton,Man United,1,2,A,3.6,3.5,2.05
2022-10-10,Nott'm Forest,Aston Villa,1,1,D,3.3,3.4,2.2
2022-05-11,Leeds,Bournemouth,4,3,H,1.72,3.8,4.75
